V1,V2
q2L-8-rUM7s,YbNUR5sNzx4
q2L-8-rUM7s,Gq8keA4ZU5g
q2L-8-rUM7s,JG0N6b9EPJw
rpzobT-SsqU,wkf-znzWKRc
rpzobT-SsqU,tMrImA2DPy8
rpzobT-SsqU,wrsfFlQTkJg
kr_f6Em7Eug,tMrImA2DPy8
kr_f6Em7Eug,Z95vnwah7Rc
kr_f6Em7Eug,au3Zzf33vXw
gb2DdqL8ATc,Y088rZ00t7g
gb2DdqL8ATc,cNdiPqExPKs
gb2DdqL8ATc,syGpm7DM-4g
JHDkALRz5Rk,WUsJcPc8g0A
JHDkALRz5Rk,MIz4TkEVJ0Q
JHDkALRz5Rk,TL5MROuIaGU
arSEALgiOr4,ACfKHjUmg_o
arSEALgiOr4,aNUYGRn3W9Q
arSEALgiOr4,rqXAkE-54NU
Z95vnwah7Rc,waB0UulJnzI
Z95vnwah7Rc,JG0N6b9EPJw
Z95vnwah7Rc,ZlU8OOUMq94
46qWpv-yFE8,QXc8uX9W4BY
46qWpv-yFE8,SJGT06zIUiY
46qWpv-yFE8,MS5C38kayWI
DY6F_pLU5ng,h_KEpnHCkKU
DY6F_pLU5ng,32KTKXZZ-BI
DY6F_pLU5ng,ISYUuBdnSLw
r51YroAFPds,Evvr7l1lb88
r51YroAFPds,fm6-rF25tw8
r51YroAFPds,4KAtiAZARag
eVJbenwzR1s,bHOPzFHncpU
eVJbenwzR1s,JwPWdkbyizw
eVJbenwzR1s,ct4IerL2FZc
v93rcPkFkZc,NvqKZHpKs-g
v93rcPkFkZc,P27HRClMf2U
v93rcPkFkZc,JwPWdkbyizw
VfKfSUqn_GY,f9v6givfTEA
VfKfSUqn_GY,CaELQS5kTso
VfKfSUqn_GY,1ylleTbizgU
kkVEt5tC2xU,NZR_vMTLfIk
kkVEt5tC2xU,t6m49vNjEGs
kkVEt5tC2xU,gUc5oN_ffRo
t6m49vNjEGs,CaELQS5kTso
t6m49vNjEGs,mQUhJTxK5mA
t6m49vNjEGs,0yZ5mjbB11I
VSQnOS7t4Gg,rRMkEDwJxbU
VSQnOS7t4Gg,4DJtjyB1gvE
VSQnOS7t4Gg,fp8ahoyuRzU
Bh4jKXsquWA,66XNIgqjVnw
Bh4jKXsquWA,EMOv4wPLFrc
Bh4jKXsquWA,6hY8xqP2MhI
yowo5KlYYpI,N0Q5TdBOJlA
yowo5KlYYpI,jXCYNK4eZAg
yowo5KlYYpI,XPtl49M4Su0
3OXCZ05EXC4,l403_H3yOyw
3OXCZ05EXC4,qGl9trMf-3k
3OXCZ05EXC4,4whqxU8qrXE
qGl9trMf-3k,Baah_WmH-PI
qGl9trMf-3k,sc3DenWSkx0
qGl9trMf-3k,2Gwlf-1jbAs
H0-WkpmTPrM,P_6vDLq64gE
H0-WkpmTPrM,pni_kDv9BsU
d-50h9nDugk,m6dCxo7t_aE
d-50h9nDugk,LYi19-Vx6go
d-50h9nDugk,3C9wZf88y4Q
gCrmFbgT37I,H0-WkpmTPrM
gCrmFbgT37I,TGLYcYCm2FM
gCrmFbgT37I,g96z1P3z5yU
k8Jsu7wSyHY,88Cd5H3kmXQ
k8Jsu7wSyHY,EidKI1Bdons
k8Jsu7wSyHY,ZuDiPv-aajI
ZuDiPv-aajI,1XOo1OJFAeQ
ZuDiPv-aajI,bYJZA86dPEo
ZuDiPv-aajI,x8fpeVICeGg
DK5kRGs0HX0,mV6GL7RrXz8
DK5kRGs0HX0,jAhjPd4uNFY
DK5kRGs0HX0,JXST_9ach1w
1XOo1OJFAeQ,x8fpeVICeGg
1XOo1OJFAeQ,ZuDiPv-aajI
1XOo1OJFAeQ,E9Bf6jdIsKw
t9c7aheZxls,HEfpxiUIZPs
t9c7aheZxls,zIwLWfaAg-8
t9c7aheZxls,_50N5QoQoc4
mZv8GQX8E1I,dPgcKJVI4x4
mZv8GQX8E1I,mFOlpEE-QYk
mZv8GQX8E1I,3QIWolLM9i8
i_FE78X-qdY,km4uCOAzrbM
i_FE78X-qdY,nrKxOnNaGHc
i_FE78X-qdY,v4amCfVbA_c
QBW5QiwSwZU,Dw9JlmudG8Y
QBW5QiwSwZU,j17XLCh1w-Q
QBW5QiwSwZU,tW64X8zbIhM
gSnt5glIy7A,j17XLCh1w-Q
gSnt5glIy7A,QBW5QiwSwZU
gSnt5glIy7A,V00lN9t3a-0
OZFTxPciwxU,r5sqcQxXO1A
OZFTxPciwxU,-7Us0JjEPZU
OZFTxPciwxU,DAwQ2gFrVZ4
eRyKBt7bqWU,vrl5PFB35Ec
eRyKBt7bqWU,tbnGIh1aad0
eRyKBt7bqWU,c9zuHpa-QnQ
S7BycrGnaJA,2Yz1oxV9-6c
S7BycrGnaJA,xfQBkdLa6fo
S7BycrGnaJA,EYPs-ya_GDA
RqLNIBAroGY,rbBY1W7aRp0
RqLNIBAroGY,H-uxmp6ok8I
RqLNIBAroGY,Wn5HxXKQOjw
AX0dTK65xJ4,aCGynr0bTls
AX0dTK65xJ4,aWJ0OaojfiA
AX0dTK65xJ4,gHO7N4zkOy8
faU_d7DqoiY,THpXovjy7Bc
faU_d7DqoiY,1Gti2emO-uk
faU_d7DqoiY,NWwawTnT7LM
vYNlaLt4jic,Z_5fNe-xnYk
vYNlaLt4jic,Yiafb0-gqF4
vYNlaLt4jic,faU_d7DqoiY
gR1Ey6UK0Kk,dp8PhLsUcFE
gR1Ey6UK0Kk,BBmmMj_maII
gR1Ey6UK0Kk,6Rb2TsOm3Kw
b9eyc8Ol6PY,vjTp-S_SWSM
b9eyc8Ol6PY,15pFQxG9wko
b9eyc8Ol6PY,mFOlpEE-QYk
IH_XjYg8TL8,AuCGsJLVi9w
IH_XjYg8TL8,b9eyc8Ol6PY
IH_XjYg8TL8,azuV5Egfb5I
YbNUR5sNzx4,jQbipfwzpX4
YbNUR5sNzx4,I6T8C12jHTg
YbNUR5sNzx4,mFOlpEE-QYk
Gq8keA4ZU5g,YbNUR5sNzx4
Gq8keA4ZU5g,LpSwuhHcsQA
Gq8keA4ZU5g,vksEJR9EPQ8
wkf-znzWKRc,yzNMdWOoC7M
wkf-znzWKRc,Z95vnwah7Rc
wkf-znzWKRc,JG0N6b9EPJw
tMrImA2DPy8,ku1qyC5hNbA
tMrImA2DPy8,mFOlpEE-QYk
tMrImA2DPy8,RuU-SHQljDQ
wrsfFlQTkJg,tMrImA2DPy8
wrsfFlQTkJg,DX7ZXbEM3FE
wrsfFlQTkJg,yzNMdWOoC7M
au3Zzf33vXw,jtl5XK7QP38
au3Zzf33vXw,R_IWReOz8YE
au3Zzf33vXw,6wm-NtMkqz8
Y088rZ00t7g,4DJtjyB1gvE
Y088rZ00t7g,0P8KyaYuaTg
Y088rZ00t7g,0rSCndxoZ4U
cNdiPqExPKs,TLpbfOJ4bJU
cNdiPqExPKs,CVuVlk2E_e4
cNdiPqExPKs,StjIv33zJ9c
syGpm7DM-4g,52uWws96Cfc
syGpm7DM-4g,9PuHjyny9lE
syGpm7DM-4g,9aUbSHbSi-k
WUsJcPc8g0A,JHDkALRz5Rk
WUsJcPc8g0A,9JedINrKWxA
WUsJcPc8g0A,TL5MROuIaGU
MIz4TkEVJ0Q,JHDkALRz5Rk
MIz4TkEVJ0Q,TL5MROuIaGU
MIz4TkEVJ0Q,S3rzN42HE00
TL5MROuIaGU,WUsJcPc8g0A
TL5MROuIaGU,9JedINrKWxA
TL5MROuIaGU,45rw2N7sOqg
ACfKHjUmg_o,vGVKAz9OifI
ACfKHjUmg_o,8BnIyHuZ7I8
ACfKHjUmg_o,tp6H3c2x5d4
